,Line,From,To,Date,dB LAeq,Average Speed (km/h),Avg Curve Radius (m),Min Curve Radius (m),Max Curve Radius (m),Total Curve Count
0,Jubilee,St John's Wood,Baker Street,05/11/2019,83,39.11,0.00014106,7e-08,0.00275405,161.0
1,Jubilee,St John's Wood,Baker Street,03/12/2019,84,39.11,0.00014106,7e-08,0.00275405,161.0
2,Jubilee,St John's Wood,Baker Street,19/12/2019,82,39.11,0.00014106,7e-08,0.00275405,161.0
3,Jubilee,St John's Wood,Baker Street,15/01/2020,87,39.11,0.00014106,7e-08,0.00275405,161.0
4,Jubilee,St John's Wood,Baker Street,20/02/2020,87,39.11,0.00014106,7e-08,0.00275405,161.0
5,Jubilee,St John's Wood,Baker Street,11/03/2020,86,39.11,0.00014106,7e-08,0.00275405,161.0
6,Jubilee,St John's Wood,Baker Street,15/09/2021,91,39.11,0.00014106,7e-08,0.00275405,161.0
7,Jubilee,St John's Wood,Baker Street,24/11/2021,94,39.11,0.00014106,7e-08,0.00275405,161.0
8,Jubilee,St John's Wood,Baker Street,24/03/2022,93,39.11,0.00014106,7e-08,0.00275405,161.0
9,Jubilee,St John's Wood,Baker Street,14/07/2022,86,39.11,0.00014106,7e-08,0.00275405,161.0
10,Jubilee,St John's Wood,Baker Street,30/09/2022,85,39.11,0.00014106,7e-08,0.00275405,161.0
11,Jubilee,St John's Wood,Baker Street,08/11/2022,87,39.11,0.00014106,7e-08,0.00275405,161.0
12,Jubilee,St John's Wood,Baker Street,20/12/2022,86,39.11,0.00014106,7e-08,0.00275405,161.0
13,Jubilee,St John's Wood,Baker Street,24/03/2023,88,39.11,0.00014106,7e-08,0.00275405,161.0
14,Jubilee,St John's Wood,Baker Street,24/04/2023,88,39.11,0.00014106,7e-08,0.00275405,161.0
15,Jubilee,St John's Wood,Baker Street,12/06/2023,88,39.11,0.00014106,7e-08,0.00275405,161.0
16,Jubilee,St John's Wood,Baker Street,07/08/2023,88,39.11,0.00014106,7e-08,0.00275405,161.0
17,Jubilee,St John's Wood,Baker Street,02/10/2023,89,39.11,0.00014106,7e-08,0.00275405,161.0
18,Jubilee,St John's Wood,Baker Street,27/11/2023,87,39.11,0.00014106,7e-08,0.00275405,161.0
19,Jubilee,Green Park,Bond Street,05/11/2019,84,39.11,0.001171985,2.56e-06,0.03059799,139.0
20,Jubilee,Green Park,Bond Street,03/12/2019,82,39.11,0.001171985,2.56e-06,0.03059799,139.0
21,Jubilee,Green Park,Bond Street,19/12/2019,83,39.11,0.001171985,2.56e-06,0.03059799,139.0
22,Jubilee,Green Park,Bond Street,15/01/2020,85,39.11,0.001171985,2.56e-06,0.03059799,139.0
23,Jubilee,Green Park,Bond Street,20/02/2020,85,39.11,0.001171985,2.56e-06,0.03059799,139.0
24,Jubilee,Green Park,Bond Street,11/03/2020,84,39.11,0.001171985,2.56e-06,0.03059799,139.0
25,Jubilee,Green Park,Bond Street,15/09/2021,90,39.11,0.001171985,2.56e-06,0.03059799,139.0
26,Jubilee,Green Park,Bond Street,24/11/2021,89,39.11,0.001171985,2.56e-06,0.03059799,139.0
27,Jubilee,Green Park,Bond Street,24/03/2022,88,39.11,0.001171985,2.56e-06,0.03059799,139.0
28,Jubilee,Green Park,Bond Street,14/07/2022,93,39.11,0.001171985,2.56e-06,0.03059799,139.0
29,Jubilee,Green Park,Bond Street,30/09/2022,84,39.11,0.001171985,2.56e-06,0.03059799,139.0
30,Jubilee,Green Park,Bond Street,08/11/2022,89,39.11,0.001171985,2.56e-06,0.03059799,139.0
31,Jubilee,Green Park,Bond Street,20/12/2022,90,39.11,0.001171985,2.56e-06,0.03059799,139.0
32,Jubilee,Green Park,Bond Street,24/03/2023,85,39.11,0.001171985,2.56e-06,0.03059799,139.0
33,Jubilee,Green Park,Bond Street,24/04/2023,85,39.11,0.001171985,2.56e-06,0.03059799,139.0
34,Jubilee,Green Park,Bond Street,12/06/2023,87,39.11,0.001171985,2.56e-06,0.03059799,139.0
35,Jubilee,Green Park,Bond Street,07/08/2023,85,39.11,0.001171985,2.56e-06,0.03059799,139.0
36,Jubilee,Green Park,Bond Street,02/10/2023,87,39.11,0.001171985,2.56e-06,0.03059799,139.0
37,Jubilee,Green Park,Bond Street,27/11/2023,91,39.11,0.001171985,2.56e-06,0.03059799,139.0
38,Central,Leytonstone,Wanstead,14/11/2019,87,37.27,,,,0.0
39,Central,Leytonstone,Wanstead,28/11/2019,85,37.27,,,,0.0
40,Central,Leytonstone,Wanstead,10/12/2019,87,37.27,,,,0.0
41,Central,Leytonstone,Wanstead,15/01/2020,89,37.27,,,,0.0
42,Central,Leytonstone,Wanstead,04/02/2020,91,37.27,,,,0.0
43,Central,Leytonstone,Wanstead,25/02/2020,88,37.27,,,,0.0
44,Central,Leytonstone,Wanstead,21/10/2021,94,37.27,,,,0.0
45,Central,Leytonstone,Wanstead,14/12/2021,90,37.27,,,,0.0
46,Central,Leytonstone,Wanstead,30/06/2022,89,37.27,,,,0.0
47,Central,Leytonstone,Wanstead,16/08/2022,90,37.27,,,,0.0
48,Central,Leytonstone,Wanstead,04/10/2022,87,37.27,,,,0.0
49,Central,Leytonstone,Wanstead,29/11/2022,88,37.27,,,,0.0
50,Central,Leytonstone,Wanstead,24/01/2023,90,37.27,,,,0.0
51,Central,Leytonstone,Wanstead,13/07/2023,86,37.27,,,,0.0
52,Central,Leytonstone,Wanstead,04/09/2023,87,37.27,,,,0.0
53,Central,Leytonstone,Wanstead,30/10/2023,87,37.27,,,,0.0
54,Central,Wanstead,Leytonstone,14/11/2019,87,37.27,,,,0.0
55,Central,Wanstead,Leytonstone,28/11/2019,86,37.27,,,,0.0
56,Central,Wanstead,Leytonstone,10/12/2019,88,37.27,,,,0.0
57,Central,Wanstead,Leytonstone,15/01/2020,88,37.27,,,,0.0
58,Central,Wanstead,Leytonstone,04/02/2020,90,37.27,,,,0.0
59,Central,Wanstead,Leytonstone,25/02/2020,87,37.27,,,,0.0
60,Central,Wanstead,Leytonstone,21/10/2021,87,37.27,,,,0.0
61,Central,Wanstead,Leytonstone,14/12/2021,96,37.27,,,,0.0
62,Central,Wanstead,Leytonstone,30/06/2022,96,37.27,,,,0.0
63,Central,Wanstead,Leytonstone,16/08/2022,93,37.27,,,,0.0
64,Central,Wanstead,Leytonstone,04/10/2022,89,37.27,,,,0.0
65,Central,Wanstead,Leytonstone,29/11/2022,89,37.27,,,,0.0
66,Central,Wanstead,Leytonstone,24/01/2023,92,37.27,,,,0.0
67,Central,Wanstead,Leytonstone,13/07/2023,92,37.27,,,,0.0
68,Central,Wanstead,Leytonstone,04/09/2023,90,37.27,,,,0.0
69,Central,Liverpool Street,Bethnal Green,14/11/2019,90,37.27,,,,0.0
70,Central,Liverpool Street,Bethnal Green,28/11/2019,89,37.27,,,,0.0
71,Central,Liverpool Street,Bethnal Green,10/12/2019,92,37.27,,,,0.0
72,Central,Liverpool Street,Bethnal Green,15/01/2020,88,37.27,,,,0.0
73,Central,Liverpool Street,Bethnal Green,04/02/2020,89,37.27,,,,0.0
74,Central,Liverpool Street,Bethnal Green,25/02/2020,93,37.27,,,,0.0
75,Central,Liverpool Street,Bethnal Green,21/10/2021,96,37.27,,,,0.0
76,Central,Liverpool Street,Bethnal Green,14/12/2021,95,37.27,,,,0.0
77,Central,Liverpool Street,Bethnal Green,30/06/2022,93,37.27,,,,0.0
78,Central,Liverpool Street,Bethnal Green,16/08/2022,91,37.27,,,,0.0
79,Central,Liverpool Street,Bethnal Green,04/10/2022,93,37.27,,,,0.0
80,Central,Liverpool Street,Bethnal Green,29/11/2022,95,37.27,,,,0.0
81,Central,Liverpool Street,Bethnal Green,24/01/2023,93,37.27,,,,0.0
82,Central,Liverpool Street,Bethnal Green,13/07/2023,94,37.27,,,,0.0
83,Central,Liverpool Street,Bethnal Green,04/09/2023,91,37.27,,,,0.0
84,Central,Tottenham Court Road,Holborn,14/11/2019,75,37.27,0.000370895,3e-08,0.00660692,166.0
85,Central,Tottenham Court Road,Holborn,28/11/2019,77,37.27,0.000370895,3e-08,0.00660692,166.0
86,Central,Tottenham Court Road,Holborn,10/12/2019,73,37.27,0.000370895,3e-08,0.00660692,166.0
87,Central,Tottenham Court Road,Holborn,15/01/2020,77,37.27,0.000370895,3e-08,0.00660692,166.0
88,Central,Tottenham Court Road,Holborn,04/02/2020,76,37.27,0.000370895,3e-08,0.00660692,166.0
89,Central,Tottenham Court Road,Holborn,25/02/2020,75,37.27,0.000370895,3e-08,0.00660692,166.0
90,Central,Tottenham Court Road,Holborn,21/10/2021,76,37.27,0.000370895,3e-08,0.00660692,166.0
91,Central,Tottenham Court Road,Holborn,14/12/2021,80,37.27,0.000370895,3e-08,0.00660692,166.0
92,Central,Tottenham Court Road,Holborn,30/06/2022,81,37.27,0.000370895,3e-08,0.00660692,166.0
93,Central,Tottenham Court Road,Holborn,16/08/2022,77,37.27,0.000370895,3e-08,0.00660692,166.0
94,Central,Tottenham Court Road,Holborn,04/10/2022,77,37.27,0.000370895,3e-08,0.00660692,166.0
95,Central,Tottenham Court Road,Holborn,29/11/2022,78,37.27,0.000370895,3e-08,0.00660692,166.0
96,Central,Tottenham Court Road,Holborn,24/01/2023,76,37.27,0.000370895,3e-08,0.00660692,166.0
97,Central,Tottenham Court Road,Holborn,13/07/2023,82,37.27,0.000370895,3e-08,0.00660692,166.0
98,Central,Tottenham Court Road,Holborn,04/09/2023,75,37.27,0.000370895,3e-08,0.00660692,166.0
99,Central,Tottenham Court Road,Holborn,30/10/2023,76,37.27,0.000370895,3e-08,0.00660692,166.0
100,Central,Holland Park,Notting Hill Gate,14/11/2019,82,37.27,0.00035168,0.0,0.01389406,132.0
101,Central,Holland Park,Notting Hill Gate,28/11/2019,86,37.27,0.00035168,0.0,0.01389406,132.0
102,Central,Holland Park,Notting Hill Gate,10/12/2019,86,37.27,0.00035168,0.0,0.01389406,132.0
103,Central,Holland Park,Notting Hill Gate,15/01/2020,88,37.27,0.00035168,0.0,0.01389406,132.0
104,Central,Holland Park,Notting Hill Gate,04/02/2020,82,37.27,0.00035168,0.0,0.01389406,132.0
105,Central,Holland Park,Notting Hill Gate,25/02/2020,81,37.27,0.00035168,0.0,0.01389406,132.0
106,Central,Holland Park,Notting Hill Gate,21/10/2021,88,37.27,0.00035168,0.0,0.01389406,132.0
107,Central,Holland Park,Notting Hill Gate,14/12/2021,91,37.27,0.00035168,0.0,0.01389406,132.0
108,Central,Holland Park,Notting Hill Gate,30/06/2022,92,37.27,0.00035168,0.0,0.01389406,132.0
109,Central,Holland Park,Notting Hill Gate,16/08/2022,90,37.27,0.00035168,0.0,0.01389406,132.0
110,Central,Holland Park,Notting Hill Gate,04/10/2022,91,37.27,0.00035168,0.0,0.01389406,132.0
111,Central,Holland Park,Notting Hill Gate,29/11/2022,91,37.27,0.00035168,0.0,0.01389406,132.0
112,Central,Holland Park,Notting Hill Gate,24/01/2023,91,37.27,0.00035168,0.0,0.01389406,132.0
113,Central,Holland Park,Notting Hill Gate,13/07/2023,96,37.27,0.00035168,0.0,0.01389406,132.0
114,Central,Holland Park,Notting Hill Gate,04/09/2023,96,37.27,0.00035168,0.0,0.01389406,132.0
115,Central,Holland Park,Notting Hill Gate,30/10/2023,94,37.27,0.00035168,0.0,0.01389406,132.0
116,Central,Holland Park,Shepherds Bush,14/11/2019,81,37.27,0.00060111,1.9e-07,0.01389406,34.0
117,Central,Holland Park,Shepherds Bush,28/11/2019,81,37.27,0.00060111,1.9e-07,0.01389406,34.0
118,Central,Holland Park,Shepherds Bush,10/12/2019,79,37.27,0.00060111,1.9e-07,0.01389406,34.0
119,Central,Holland Park,Shepherds Bush,15/01/2020,84,37.27,0.00060111,1.9e-07,0.01389406,34.0
120,Central,Holland Park,Shepherds Bush,04/02/2020,82,37.27,0.00060111,1.9e-07,0.01389406,34.0
121,Central,Holland Park,Shepherds Bush,25/02/2020,81,37.27,0.00060111,1.9e-07,0.01389406,34.0
122,Central,Holland Park,Shepherds Bush,21/10/2021,81,37.27,0.00060111,1.9e-07,0.01389406,34.0
123,Central,Holland Park,Shepherds Bush,14/12/2021,85,37.27,0.00060111,1.9e-07,0.01389406,34.0
124,Central,Holland Park,Shepherds Bush,30/06/2022,84,37.27,0.00060111,1.9e-07,0.01389406,34.0
125,Central,Holland Park,Shepherds Bush,16/08/2022,84,37.27,0.00060111,1.9e-07,0.01389406,34.0
126,Central,Holland Park,Shepherds Bush,04/10/2022,82,37.27,0.00060111,1.9e-07,0.01389406,34.0
127,Central,Holland Park,Shepherds Bush,29/11/2022,82,37.27,0.00060111,1.9e-07,0.01389406,34.0
128,Central,Holland Park,Shepherds Bush,24/01/2023,89,37.27,0.00060111,1.9e-07,0.01389406,34.0
129,Central,Holland Park,Shepherds Bush,13/07/2023,81,37.27,0.00060111,1.9e-07,0.01389406,34.0
130,Central,Holland Park,Shepherds Bush,04/09/2023,88,37.27,0.00060111,1.9e-07,0.01389406,34.0
131,Victoria,Pimlico,Victoria,14/11/2019,86,40.66,0.00027711,3e-07,0.00155373,147.0
132,Victoria,Pimlico,Victoria,28/11/2019,88,40.66,0.00027711,3e-07,0.00155373,147.0
133,Victoria,Pimlico,Victoria,10/12/2019,89,40.66,0.00027711,3e-07,0.00155373,147.0
134,Victoria,Pimlico,Victoria,23/01/2020,90,40.66,0.00027711,3e-07,0.00155373,147.0
135,Victoria,Pimlico,Victoria,11/02/2020,82,40.66,0.00027711,3e-07,0.00155373,147.0
136,Victoria,Pimlico,Victoria,13/03/2020,84,40.66,0.00027711,3e-07,0.00155373,147.0
137,Victoria,Pimlico,Victoria,03/11/2021,91,40.66,0.00027711,3e-07,0.00155373,147.0
138,Victoria,Pimlico,Victoria,01/12/2021,84,40.66,0.00027711,3e-07,0.00155373,147.0
139,Victoria,Pimlico,Victoria,19/05/2022,90,40.66,0.00027711,3e-07,0.00155373,147.0
140,Victoria,Pimlico,Victoria,23/09/2022,88,40.66,0.00027711,3e-07,0.00155373,147.0
141,Victoria,Pimlico,Victoria,23/09/2022,88,40.66,0.00027711,3e-07,0.00155373,147.0
142,Victoria,Pimlico,Victoria,18/11/2022,84,40.66,0.00027711,3e-07,0.00155373,147.0
143,Victoria,Pimlico,Victoria,13/01/2023,90,40.66,0.00027711,3e-07,0.00155373,147.0
144,Victoria,Pimlico,Victoria,02/05/2023,97,40.66,0.00027711,3e-07,0.00155373,147.0
145,Victoria,Pimlico,Victoria,26/06/2023,85,40.66,0.00027711,3e-07,0.00155373,147.0
146,Victoria,Pimlico,Victoria,08/08/2023,85,40.66,0.00027711,3e-07,0.00155373,147.0
147,Victoria,Stockwell,Vauxhall,14/11/2019,87,40.66,0.00029157,0.0,0.00496661,160.0
148,Victoria,Stockwell,Vauxhall,28/11/2019,89,40.66,0.00029157,0.0,0.00496661,160.0
149,Victoria,Stockwell,Vauxhall,10/12/2019,89,40.66,0.00029157,0.0,0.00496661,160.0
150,Victoria,Stockwell,Vauxhall,23/01/2020,91,40.66,0.00029157,0.0,0.00496661,160.0
151,Victoria,Stockwell,Vauxhall,11/02/2020,82,40.66,0.00029157,0.0,0.00496661,160.0
152,Victoria,Stockwell,Vauxhall,13/03/2020,87,40.66,0.00029157,0.0,0.00496661,160.0
153,Victoria,Stockwell,Vauxhall,03/11/2021,87,40.66,0.00029157,0.0,0.00496661,160.0
154,Victoria,Stockwell,Vauxhall,01/12/2021,90,40.66,0.00029157,0.0,0.00496661,160.0
155,Victoria,Stockwell,Vauxhall,19/05/2022,88,40.66,0.00029157,0.0,0.00496661,160.0
156,Victoria,Stockwell,Vauxhall,23/09/2022,88,40.66,0.00029157,0.0,0.00496661,160.0
157,Victoria,Stockwell,Vauxhall,23/09/2022,91,40.66,0.00029157,0.0,0.00496661,160.0
158,Victoria,Stockwell,Vauxhall,18/11/2022,90,40.66,0.00029157,0.0,0.00496661,160.0
159,Victoria,Stockwell,Vauxhall,13/01/2023,93,40.66,0.00029157,0.0,0.00496661,160.0
160,Victoria,Stockwell,Vauxhall,02/05/2023,93,40.66,0.00029157,0.0,0.00496661,160.0
161,Victoria,Stockwell,Vauxhall,26/06/2023,93,40.66,0.00029157,0.0,0.00496661,160.0
162,Victoria,Stockwell,Vauxhall,08/08/2023,91,40.66,0.00029157,0.0,0.00496661,160.0
163,Victoria,Euston,King's Cross,14/11/2019,81,40.66,0.00033156,5.8e-07,0.0047459,72.0
164,Victoria,Euston,King's Cross,28/11/2019,82,40.66,0.00033156,5.8e-07,0.0047459,72.0
165,Victoria,Euston,King's Cross,10/12/2019,84,40.66,0.00033156,5.8e-07,0.0047459,72.0
166,Victoria,Euston,King's Cross,23/01/2020,82,40.66,0.00033156,5.8e-07,0.0047459,72.0
167,Victoria,Euston,King's Cross,11/02/2020,81,40.66,0.00033156,5.8e-07,0.0047459,72.0
168,Victoria,Euston,King's Cross,13/03/2020,84,40.66,0.00033156,5.8e-07,0.0047459,72.0
169,Victoria,Euston,King's Cross,03/11/2021,83,40.66,0.00033156,5.8e-07,0.0047459,72.0
170,Victoria,Euston,King's Cross,01/12/2021,84,40.66,0.00033156,5.8e-07,0.0047459,72.0
171,Victoria,Euston,King's Cross,19/05/2022,83,40.66,0.00033156,5.8e-07,0.0047459,72.0
172,Victoria,Euston,King's Cross,23/09/2022,77,40.66,0.00033156,5.8e-07,0.0047459,72.0
173,Victoria,Euston,King's Cross,23/09/2022,79,40.66,0.00033156,5.8e-07,0.0047459,72.0
174,Victoria,Euston,King's Cross,18/11/2022,82,40.66,0.00033156,5.8e-07,0.0047459,72.0
175,Victoria,Euston,King's Cross,13/01/2023,83,40.66,0.00033156,5.8e-07,0.0047459,72.0
176,Victoria,Euston,King's Cross,02/05/2023,82,40.66,0.00033156,5.8e-07,0.0047459,72.0
177,Victoria,Euston,King's Cross,26/06/2023,83,40.66,0.00033156,5.8e-07,0.0047459,72.0
